name,PA,S,m,human_r0_accuracy,human_r0_precision,human_r0_recall,human_r0_f1-score,human_r0_support,human_r1_accuracy,human_r1_precision,human_r1_recall,human_r1_f1-score,human_r1_support,human_r2_accuracy,human_r2_precision,human_r2_recall,human_r2_f1-score,human_r2_support,agg_human_mean_f1-score,agg_human_std_f1-score,agg_human_mean_precision,agg_human_std_precision,agg_human_mean_recall,agg_human_std_recall,agg_human_mean_accuracy,agg_human_std_accuracy,model_accuracy,model_precision,model_recall,model_f1-score,model_support,agg_human - model_mean_f1-score,agg_human_mean_f1-score_fmt,agg_human - model_mean_precision,agg_human_mean_precision_fmt,agg_human - model_mean_recall,agg_human_mean_recall_fmt,agg_human - model_mean_accuracy,agg_human_mean_accuracy_fmt
Lung Opacity,1.0,269,0.528,0.96,0.96,0.95,0.96,142.0,0.96,0.93,0.99,0.96,142.0,0.97,0.95,0.99,0.97,142.0,0.9633333333333333,0.005773502691896262,0.9466666666666667,0.01527525231651942,0.9766666666666666,0.02309401076758505,0.9633333333333333,0.005773502691896262,0.73,0.66,0.99,0.79,142.0,0.17333333333333323,0.96$\pm$0.01,0.2866666666666666,0.95$\pm$0.02,-0.01333333333333342,0.98$\pm$0.02,0.23333333333333328,0.96$\pm$0.01
Lung Opacity,All,500,0.528,0.85,0.9,0.8,0.85,264.0,0.87,0.86,0.9,0.88,264.0,0.85,0.85,0.88,0.86,264.0,0.8633333333333333,0.01527525231651948,0.87,0.02645751311064593,0.86,0.0529150262212918,0.8566666666666666,0.011547005383792525,0.66,0.61,0.99,0.75,264.0,0.11333333333333329,0.86$\pm$0.02,0.26,0.87$\pm$0.03,-0.13,0.86$\pm$0.05,0.19666666666666655,0.86$\pm$0.01
Pleural Effusion,0.6,83,0.422,0.73,0.68,0.71,0.69,35.0,0.52,0.45,0.66,0.53,35.0,0.61,0.53,0.71,0.61,35.0,0.61,0.07999999999999996,0.5533333333333333,0.11676186592091331,0.6933333333333334,0.028867513459481253,0.62,0.10535653752852737,0.42,0.42,0.97,0.59,35.0,0.020000000000000018,0.61$\pm$0.08,0.13333333333333336,0.55$\pm$0.12,-0.2766666666666666,0.69$\pm$0.03,0.2,0.62$\pm$0.11
Pleural Effusion,0.8,110,0.336,0.89,0.84,0.84,0.84,37.0,0.75,0.58,0.92,0.71,37.0,0.83,0.67,0.97,0.79,37.0,0.7799999999999999,0.06557438524302002,0.6966666666666667,0.13203534880225573,0.91,0.06557438524302002,0.8233333333333334,0.07023769168568493,0.44,0.37,1.0,0.54,37.0,0.23999999999999988,0.78$\pm$0.07,0.32666666666666666,0.70$\pm$0.13,-0.08999999999999997,0.91$\pm$0.07,0.38333333333333336,0.82$\pm$0.07
Pleural Effusion,1.0,307,0.104,0.98,0.91,0.91,0.91,32.0,0.94,0.64,0.91,0.75,32.0,0.95,0.7,1.0,0.82,32.0,0.8266666666666667,0.08020806277010645,0.75,0.14177446878757827,0.9400000000000001,0.0519615242270663,0.9566666666666667,0.020816659994661344,0.48,0.17,1.0,0.28,32.0,0.5466666666666666,0.83$\pm$0.08,0.58,0.75$\pm$0.14,-0.05999999999999994,0.94$\pm$0.05,0.4766666666666667,0.96$\pm$0.02
Pleural Effusion,All,500,0.208,0.92,0.8,0.82,0.81,104.0,0.83,0.55,0.83,0.66,104.0,0.87,0.63,0.89,0.74,104.0,0.7366666666666667,0.07505553499465135,0.66,0.12767145334803706,0.8466666666666667,0.03785938897200186,0.8733333333333334,0.045092497528228984,0.46,0.28,0.99,0.43,104.0,0.3066666666666667,0.74$\pm$0.08,0.38,0.66$\pm$0.13,-0.1433333333333333,0.85$\pm$0.04,0.4133333333333334,0.87$\pm$0.05
Pleural Other,0.6,12,0.167,0.83,0.5,0.5,0.5,2.0,0.83,0.5,0.5,0.5,2.0,0.83,0.5,0.5,0.5,2.0,0.5,0.0,0.5,0.0,0.5,0.0,0.83,0.0,0.83,0.0,0.0,0.0,2.0,0.5,0.50$\pm$0.00,0.5,0.50$\pm$0.00,0.5,0.50$\pm$0.00,0.0,0.83$\pm$0.00
Pleural Other,0.8,49,0.041,0.92,0.33,1.0,0.5,2.0,0.82,0.11,0.5,0.18,2.0,0.92,0.0,0.0,0.0,2.0,0.22666666666666666,0.2532455988429677,0.14666666666666667,0.16802777548171416,0.5,0.5,0.8866666666666667,0.05773502691896263,0.94,0.0,0.0,0.0,2.0,0.22666666666666666,0.23$\pm$0.25,0.14666666666666667,0.15$\pm$0.17,0.5,0.50$\pm$0.50,-0.05333333333333323,0.89$\pm$0.06
Pleural Other,1.0,439,0.000,0.99,0.0,0.0,0.0,0.0,0.99,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9933333333333333,0.005773502691896262,,,,,,,0.00$\pm$0.00,,0.00$\pm$0.00,,0.00$\pm$0.00,,0.99$\pm$0.01
Pleural Other,All,500,0.008,0.98,0.23,0.75,0.35,4.0,0.97,0.13,0.5,0.21,4.0,0.99,0.2,0.25,0.22,4.0,0.25999999999999995,0.07810249675906654,0.18666666666666668,0.05131601439446884,0.5,0.25,0.98,0.010000000000000009,0.99,0.0,0.0,0.0,4.0,0.25999999999999995,0.26$\pm$0.08,0.18666666666666668,0.19$\pm$0.05,0.5,0.50$\pm$0.25,-0.010000000000000009,0.98$\pm$0.01
